subject_id,tic_id,img_id
"98922628","78568780","b15ac232-c301-4498-b6f6-35d25aee05c8"
"98923637","25712092","b154f8cb-cf76-4efd-a01c-ebb2ff57f7c2"
"98924415","79900390","53896374-9e63-4fb7-96f2-4b95dd5742b0"
"98924599","53201931","65a8fc56-1bbd-4d0a-ac4e-f2608a8896d8"
"98924803","72745580","8de6b098-cbb1-4549-8969-704ae942c5a3"
"98924888","50445777","6c817865-f83e-49c8-bc14-1d1308370785"
"98925432","72555159","a5206b88-00bc-4800-ad5d-54b205cb4bc8"
"98926987","67155515","e071add1-817c-4867-86a6-4e43b4792965"
"98927229","56980725","932bdb83-e142-41e6-a377-a5a561b498b8"
"98927368","37376063","ed4782b3-22ef-45f4-b089-842ec3427944"
"98927575","49947645","f092e2cb-70b0-427a-b9d5-bdcc958cbb9f"
"98928142","48089827","914062fc-66dd-4903-85e0-34eca2c6ef7f"
"98928327","18079984","94e46551-0fb7-4705-af8f-cceb10821f3f"
"98929146","39812333","331af590-a0d4-43ad-ac58-35c1025bc47f"
"98929311","85113004","6832adec-443f-43d6-91e4-a8f9ed501c58"
"98929534","39969894","33fe48c8-f5ec-48e1-8bba-01807908c532"
"98929666","60584909","21677054-812f-487d-abd2-5571e584adfa"
"98930168","27543409","77ef0c48-9922-4912-a314-391f272adb6f"
"98931452","66334360","f8db0760-3860-4c90-9d68-a4ebc588b707"
"98931683","27423217","b48cbbe0-b547-45a1-91e0-2421eeb97b7b"
"98932716","75740921","23189288-4103-49a5-8a52-b8dc23db3543"
"98932725","33721975","e76ef897-c762-430d-8b41-75e04bea720f"
"98933402","50364009","870422b4-4271-464a-9ba1-e3a385844a74"
"98933861","97642729","074b13d9-c0d7-4a4f-8c40-ac7ab0355c60"
"98934984","120362137","1f800a8c-20bd-461f-b723-c802a4a5d58e"
"98935026","142872030","5c2a449a-f67c-4f51-a5bc-9388d3c13e43"
"98936306","151372723","e041a261-d9eb-46e6-9bbf-a0ae7a753a30"
"98937098","102502222","20b4edf0-3a58-438f-bfae-5e27e33c1437"
"98937315","148942773","4781b5f1-20ea-4b87-9e34-82e770036f56"
"98939119","144264256","e1841abc-e438-4a5b-ab17-0ce074c5d72d"
"98939207","122994468","ee6f6e79-8c99-4da2-bcc4-61accebadf86"
"98939485","160514618","457a90ac-c1cc-4892-8f64-055f9041929b"
"98939492","93713926","b9244f76-d72b-4cee-a15e-585743f497cf"
"98939527","160710406","4ef85fec-1a57-4dfa-b8f0-e014309bbfa3"
"98939943","152086769","8c1d3a15-e963-4af4-9192-7cd5c9dacfd2"
"98940067","165052445","89cc6af3-b5cf-4578-8250-832877d64577"
"98940270","150055835","46f611dd-3d3f-4770-8e5d-e4e33d0ebd50"
"98940518","107342914","fa59b58c-ce0f-4fe0-8f20-8dafe18c4298"
"98940584","130946041","4fcdcd97-84a2-4d18-96c3-264efe9ced84"
"98941564","139995365","2b6b29cc-970b-43d2-8d6b-dfa9a3da485d"
"98941750","90841169","04037b8b-16df-4e72-a806-2c833bf27468"
"98942088","164656622","8a5d3526-63fc-4e35-9cc9-6caeefacb68e"
"98942153","139944266","a917a7c4-63ba-4bc9-b6a9-52cd9fe8321a"
"98942165","138186185","b767991c-2f36-48be-9d17-c10459e253db"
"98942367","121585635","53b225a7-02fa-4c0d-b41a-2cabb59be0fb"
"98942384","89278612","e8f4db0e-45f9-4b4b-b8ff-243d831d9e1b"
"98942423","93373156","6478d993-c24e-47ef-842b-2ab26872927c"
"98942750","159693374","6c67a29a-7f76-41b8-9389-0f1393801b27"
"98943374","158431889","bc29c7a2-2720-4b70-b2e6-707e7da444a8"
"98947573","256197811","6641033f-fae9-4f87-961d-cdfc05d80d11"
"98948578","219469945","51daa374-786d-466f-b068-b8c62546b0bb"
"98949072","229652559","e614d528-d1b7-4bd1-a8e8-54572bc18844"
"98949332","180980111","92fd3c46-0ea4-408c-ab46-941f844d67de"
"98950179","252319815","90e18d56-a4e2-46b7-ae24-46362ecd1466"
"98950204","171875955","b3ad8edd-3dfb-42c6-9b13-f6c281759b55"
"98950646","245832673","84ead7b9-a5b9-4bad-a6cd-7daddb419b60"
"98952259","190726557","cf0d5969-81e4-4507-a286-c98ee9dd0c87"
"98952672","254947218","13333da2-4d90-4a82-9108-b5d98b752a2a"
"98952808","177018730","e92a6c7c-6a58-4488-bce3-09a1c28ceedb"
"98953978","229645064","ad4e5cf5-bbad-4eef-874a-7e697701ae96"
"98954123","206885898","f8a7f495-6cc7-4474-90b5-fe9279527ff3"
"98954540","193993801","c642adad-7070-43ee-b170-3d86b9b8b70c"
"98955221","204393198","c7ac2fff-07a9-488b-a45a-1ce598b2c638"
"98955682","252301701","ad460ab3-9267-40ea-ba21-9cee11cae557"
"98957354","258697602","a59ee665-5508-4f04-92c5-51804d9cf2f3"
"98958619","197035083","6dd72558-9f41-4267-93f8-2f59776ce4e7"
"98959981","177810196","b384bbe4-816d-4f0c-9d2f-ebaf112a9c41"
"98960001","256158466","01d7f9b4-3a22-41f9-835d-ed743ee878b2"
"98960519","168789840","fd1da454-e309-4b3d-9a75-65509387e901"
"98961644","167168786","327aa5b7-6208-4cca-a605-b9d057bff0e0"
"98963916","250414257","abc0c7d2-2cf7-4659-be4c-fbcd0229d20f"
"98993879","305635022","9abc6a1d-2462-4624-b087-91f27fa0b2f2"
"98993900","270714573","189fae52-0575-40f8-905b-544a875350bf"
"98994121","276396435","e9dc89c8-05f7-4787-8a4b-fd9286973707"
"98994338","321474625","878699df-6908-4590-8bc2-848682c9b2e5"
"98994943","306903715","6bb76f24-6c90-4f88-ad68-b091293f64ca"
"98994960","285296235","a681287f-a61d-432f-9416-0421d1919abc"
"98995257","309341617","e625b5f8-df3c-4d9c-804c-3fb577e042a3"
"98995455","289822938","570dba6e-b824-40af-8c9c-4b5b7751691b"
"98995632","307119043","85259557-7f81-4aba-9a5d-c03c0e54c101"
"98995810","297033116","cd13707c-c96e-4855-acfc-ac3fdbf8f6f8"
"98996001","304041465","b163dcc8-ce11-49b4-aeab-dfb827c0b45e"
"98996340","270134953","5743f2f6-567e-4d3a-a034-ee4a8f134e97"
"98996371","309262405","6f5cd1a1-29b1-47f8-93dd-187e5e2b08cc"
"98996683","285655079","39d20870-efb1-4c3b-a8eb-bf89847bbd28"
"98996973","278825952","40ebb2df-c44c-49b4-a6ce-77728f7729b2"
"98997438","265274458","8607ceaa-2a66-419e-99be-4cee20264be8"
"98997845","319740773","b1af7cb4-6a37-4138-be0f-2f3a077126ea"
"98998108","285246059","8be2eb19-5270-4d0f-afc7-b4880f4f594e"
"98998425","282902773","86ab7ccd-1142-40de-9068-f902850b715d"
"98998491","307176104","f8d34c6b-d837-4c84-82f0-b913cbf924de"
"98998734","277316707","13fe716d-3e18-480c-8326-1198078d34c7"
"98998953","279669496","7e30df87-2f4e-40aa-a927-8f6000485831"
"98999937","283690818","717bbf5a-ccfa-4c33-a9f6-bfde8ed8ed50"
"99000008","302599810","eedab01c-78ef-4c14-b016-09c8eb0326df"
"99000134","274862251","488d3783-8fc1-4cb7-b087-856d981bce6e"
"99000216","262755078","b9b0aa8b-6771-4f3e-8bcb-3f7e909ce928"
"99000610","316616475","65dd228f-25d3-41f0-8b5d-0f9728d0ff26"
"99000963","283058397","968483b0-c5f6-424a-a23b-176f3929bb97"
"99001129","297251275","08f8bb9e-5804-47e2-a704-ef40e6cda719"
"99001143","321078998","477f5048-04a5-4523-9c52-3ae1d4d51b83"
"99001716","266917552","5cdf516a-c89e-4e1a-ae77-d8e30917c8a5"
"99002540","302537339","f82acf2e-8914-4026-9be1-ca188472220c"
"99003981","399580430","838391f9-3cf7-4bf2-aa7b-f8a800b61a3d"
"99004286","388882502","494ebc6a-9abc-4e21-9dda-0b8b850a4d67"
"99004334","386900081","f9b4a648-a246-44c7-abca-a9817cf22638"
"99004494","356318101","1d033949-d998-41ab-8887-50ffc4684946"
"99004551","355351897","ba7db4c6-a5fb-402a-a552-9ef419bca790"
"99004656","347352570","4ff23e45-9ecf-42f7-bbbe-eea968884780"
"99004876","352830705","faf14522-e825-4fda-a06c-e837f9b1ec6e"
"99005176","343763382","42dd202a-25c2-454d-a353-47fbc259ed12"
"99005494","369438542","536bcbdb-616f-4de7-b517-e378d233ab23"
"99005584","365929208","66e1d74b-b726-4b41-b3fb-0f3344454af3"
"99006312","351300776","1bacc147-2c74-4257-8617-ba9df581b808"
"99006429","329378509","60c576ba-4a05-409a-87b5-2860af9be5c8"
"99007042","394680010","df9f8ca6-4373-40f2-9df0-91153b35ba4c"
"99007382","361074461","0b7d0a28-7fbe-421f-9856-b3eaaac6423e"
"99008198","370492784","57ac7ebf-7906-4215-8190-c889ed30fc96"
"99009060","370280096","23365a67-5a0b-4eac-a588-11a7eeca22fe"
"99009868","338278383","d12d4bc4-fe0a-4ab7-baf4-e8e5895ccb81"
"99010233","332254505","0eb24e5c-0834-4245-bd06-cc5599abb2a2"
"99010436","356324004","ae2b0f5b-fe10-4ca4-b915-0763ed76c523"
"99010716","327688010","39872045-49fe-4e2b-a714-1b55df9431ae"
"99011072","327885074","d72a77e1-779f-45a0-87ad-92bbd2a9c282"
"99011318","400813988","9fbc7399-b6aa-48e9-a191-60dfb8b54842"
"99012019","347928883","9064c20c-8a6c-4d76-961c-5038440b605b"
"99012213","384735219","10892061-f3b3-40d6-afa4-c0b1e6d53fc1"
"99012653","337993842","61169e25-edf6-4adb-8ac8-cea4622925dc"
"99012983","332681838","b10283a3-7890-4a6b-9bc5-abf1ab2e5a23"
"99065767","415144265","7b595f68-cf66-4bec-a481-7336ae195a06"
"99066760","452991707","4875e729-a593-4f1b-816d-09669849284f"
